City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
290,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
291,Puro,PH,79.16,overcast clouds,12.4841,123.3827,
295,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
299,Hami,CN,88.97,broken clouds,42.8,93.45,Laoyutang Resort
300,Mao,ES,86.56,clear sky,39.8885,4.2658,ARTIEM Capri
301,Wanning,CN,79.84,light rain,18.8003,110.3967,Paradise Hotel
302,Sidi Ali,DZ,78.08,clear sky,36.0998,0.4206,Complexe touristique haje bezine
304,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
305,Caravelas,BR,78.15,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
309,Kloulklubed,PW,79.3,light rain,7.0419,134.2556,Storyboard Beach Resort
312,Elko,US,84.74,overcast clouds,41.0002,-115.5012,
314,Cockburn Town,TC,84.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
318,Broome,US,80.02,scattered clouds,42.2506,-75.833,Chenango Valley State Park
319,Luquillo,PR,89.76,clear sky,18.3725,-65.7166,Yunque Mar Beach Hotel
321,Galle,LK,80.73,overcast clouds,6.0367,80.217,Amangalla
322,Belmopan,BZ,84.58,broken clouds,17.25,-88.7667,Villa San Juan
324,Machilipatnam,IN,79.65,light rain,16.1667,81.1333,R&B Bungalow
332,Filadelfia,US,79.18,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
334,Meulaboh,ID,77.77,overcast clouds,4.1363,96.1285,Kost Pria
336,Marathon,US,75.43,scattered clouds,44.9,-89.7668,
338,Gizo,SB,80.37,broken clouds,-8.103,156.8419,Imagination Island
345,Wad Madani,SD,88.72,overcast clouds,14.4012,33.5199,فندق يوغسلافيا
347,Vanimo,PG,77.68,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
350,Clermont,FR,80.71,scattered clouds,49.5,2.4167,"gîte et chambres d'hôtes"" Le Manoir Enchanté"" de Mme Doumayrou"
351,Sao Jose De Ribamar,BR,89.98,scattered clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
355,San-Pedro,CI,77.13,overcast clouds,4.7485,-6.6363,Hotel Maria
361,Garden City,US,78.93,clear sky,42.3256,-83.331,Big Trees Mobile Home Community
365,Posse,BR,84.33,clear sky,-14.0931,-46.3694,Pousada das Palmeiras
376,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
379,Brokopondo,SR,83.82,scattered clouds,4.75,-55.1667,Matu Island
385,Lazaro Cardenas,MX,82.76,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
387,Rockland,US,84.67,broken clouds,41.1668,-74.0496,National Camp Association
390,Tevaitoa,PF,77.58,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
393,Carros,FR,83.77,clear sky,43.7894,7.184,Lou Castelet Restaurant
397,Colmar,FR,82.0,clear sky,48.0833,7.3667,Hotel Primo Colmar Centre
399,La Asuncion,VE,83.93,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
403,Gunjur,GM,81.82,overcast clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
404,Herat,AF,80.96,clear sky,34.5,62.0,
407,Zabol,AF,76.59,broken clouds,32.25,67.25,
409,San Ramon De La Nueva Oran,AR,86.81,scattered clouds,-23.1322,-64.326,Hotel Residencial Centro
410,Suclayin,PH,77.52,scattered clouds,15.7568,121.5503,Costa Pacifica
414,Palu,ID,75.92,moderate rain,-0.8917,119.8707,Hotel Santika Palu
418,Bardiyah,LY,78.91,clear sky,31.7561,25.0865,بورتو بردية
419,Shaoguan,CN,78.33,broken clouds,24.8,113.5833,Shangcheng Hotel
420,Bac Lieu,VN,77.61,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
421,Asfi,MA,83.52,clear sky,32.2994,-9.2372,Hôtel Abda
422,Westport,US,84.88,broken clouds,41.1415,-73.3579,The Westport Inn
423,Padang,ID,77.38,light rain,-0.9492,100.3543,Mercure Padang
424,Karwar,IN,78.93,light rain,14.8,74.1333,Netalco Connects
426,Lindsay,US,87.01,clear sky,36.203,-119.0882,Lindsay Inn
429,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
431,Guadalupe Y Calvo,MX,76.21,broken clouds,26.1,-106.9667,Hotel Pizarro
434,Tautira,PF,76.24,overcast clouds,-17.7333,-149.15,Pension Oaoa
435,Ouesso,CG,80.19,overcast clouds,1.6136,16.0517,ABENIE Hotel
436,San Lawrenz,MT,83.86,clear sky,36.0553,14.204,San Andrea Hotel
437,Buala,SB,78.75,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
438,Baherden,TM,87.28,clear sky,38.4362,57.4316,
439,Sao Jose Da Coroa Grande,BR,78.6,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
440,Nizwa,OM,82.51,overcast clouds,22.9333,57.5333,Orient Apartments
441,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
442,Makakilo City,US,75.18,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
443,Port Hueneme,US,80.38,mist,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
444,Da Nang,VN,78.78,heavy intensity rain,16.0678,108.2208,Grand Mercure Danang
453,Nagato,JP,76.89,few clouds,34.3833,131.2,いそう庵
454,Matara,LK,80.37,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
455,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
456,Columbus,US,83.43,scattered clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
458,Quepos,CR,83.21,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
462,Dekernes,EG,83.53,clear sky,31.0876,31.595,زكريا عبد الفتاح سليم
463,Pringsewu,ID,75.4,overcast clouds,-5.3582,104.9744,Urban Style by Front One
465,Marzuq,YE,81.19,overcast clouds,14.4,46.4667,
466,Phetchabun,TH,75.83,moderate rain,16.25,101.0833,วินธนา รีสอร์ท
467,Turbat,PK,84.4,moderate rain,26.0023,63.044,Mubashar Quarters
468,Kahului,US,76.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
471,Hauterive,FR,79.56,few clouds,46.0901,3.4459,Aletti Palace Hotel
472,Odlabari,IN,80.19,few clouds,26.8333,88.6167,west damdim resort
473,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
474,Emmett,US,83.19,few clouds,43.8735,-116.4993,Holiday Motel & R.V Park
475,Wenling,CN,78.75,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
476,Yate,GB,78.96,clear sky,51.5407,-2.4184,The Moda House
479,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
482,Coahuayana,MX,86.23,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
483,Lincoln,US,84.15,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
484,Sarangani,PH,82.94,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
486,Juazeiro,BR,82.58,light rain,-9.4117,-40.4986,JB Hotel
487,Idlib,SY,78.01,clear sky,35.9306,36.6339,مركز تسيل للتجميل
489,Ganzhou,CN,81.36,scattered clouds,28.8184,115.4327,Zhanqian Grand Hotel
491,Dakar,SN,86.88,broken clouds,14.6937,-17.4441,Novotel Dakar
505,Yumen,CN,78.58,clear sky,40.2833,97.2,
506,Lubao,PH,80.67,scattered clouds,14.9167,120.55,Hacienda Gracia
507,Ipueiras,BR,83.3,clear sky,-7.0333,-40.45,
508,Impfondo,CG,81.66,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
509,Vaitape,PF,78.08,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
512,Kadoma,JP,78.78,broken clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
513,Cravinhos,BR,77.72,clear sky,-21.3403,-47.7294,Ônix Inn Hotel Cravinhos
514,Margen,PH,77.14,light rain,11.0172,124.5283,Curva City light View
515,Itaqui,BR,75.87,scattered clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
516,Abbeville,FR,75.25,few clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
517,Pemangkat,ID,79.59,overcast clouds,1.1667,108.9667,Ramah Kost KITA
519,Mount Pleasant,US,89.98,clear sky,32.7941,-79.8626,Best Western Patriots Point
520,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
521,Chambas,CU,86.63,broken clouds,22.1928,-78.9136,
522,Radnevo,BG,81.07,overcast clouds,42.3,25.9333,Hotel Nakra
528,Aketi,CD,76.23,light rain,2.7388,23.7833,
537,Kalamazoo,US,78.04,scattered clouds,42.2506,-85.55,Four Points by Sheraton Kalamazoo
541,Susaki,JP,75.83,broken clouds,33.3667,133.2833,Awa
543,Prainha,BR,87.94,few clouds,-1.8,-53.48,Casa Rocha
550,Kupang,ID,75.58,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
551,Kolondieba,ML,89.37,broken clouds,11.0882,-6.8926,Hotel Dakan
552,Bogale,MM,77.92,overcast clouds,16.2833,95.4,Aung Pin Lel Guest House
556,Uthal,PK,83.5,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
563,Dicabisagan,PH,79.16,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
568,Nantucket,US,75.31,clear sky,41.2835,-70.0995,Jared Coffin House
570,Terre Haute,US,78.24,overcast clouds,39.4667,-87.4139,Drury Inn & Suites Terre Haute
572,Suez,EG,84.74,clear sky,29.9737,32.5263,Green House
573,Kulhudhuffushi,MV,80.82,light rain,6.6221,73.07,Haajy Guest House 1
574,Honiara,SB,75.33,broken clouds,-9.4333,159.95,Heritage Park Hotel
575,Sungairaya,ID,79.05,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
577,Morden,CA,77.09,broken clouds,49.1919,-98.1014,Morden Motor Inn
578,Cacheu,GW,87.89,light rain,12.2706,-16.1658,
580,Sinnamary,GF,80.47,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
581,Dingle,PH,76.73,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
586,Sal Rei,CV,80.8,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
587,Birao,CF,82.0,overcast clouds,10.2849,22.7882,
589,Caidian,CN,89.73,clear sky,30.5833,114.0333,City Comfort Inn Wuhan Caidian Square
590,Artsyz,UA,76.23,overcast clouds,45.9919,29.4182,Хостел Миниотель
594,Adana,TR,84.72,few clouds,36.985,35.2881,ibis Adana
595,Tadine,NC,75.34,clear sky,-21.55,167.8833,
596,Sola,VU,79.41,scattered clouds,-13.8833,167.55,Leumerus Bungalows
598,Wewak,PG,78.1,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
601,Iracoubo,GF,80.83,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
603,Naze,JP,81.52,clear sky,28.3667,129.4833,Shishime Hotel
605,Kathu,TH,85.75,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
608,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
609,Tamworth,GB,77.52,clear sky,52.634,-1.6959,Drayton Manor Hotel
610,Bandarban,BD,76.14,broken clouds,22.1965,92.2262,HOTEL PLAZA BANDARBAN
615,Carmen,MX,86.04,broken clouds,18.6333,-91.8333,Hotel Lossandes
616,Negombo,LK,82.45,few clouds,7.2083,79.8358,Hotel Sunset Beach
618,Avera,US,83.71,moderate rain,33.194,-82.5271,
619,Panama City,PA,84.15,thunderstorm,8.9936,-79.5197,Trump International Hotel & Tower Panama
621,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
623,Salinopolis,BR,83.03,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
627,Monopoli,IT,78.71,clear sky,40.9559,17.2896,Il Melograno
631,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
633,Kattivakkam,IN,83.07,heavy intensity rain,13.2167,80.3167,Euronova Freezer
