City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Ostrovnoy,RU,68.0531,39.5131,48.47,87,87,7.18,overcast clouds
149,Sorland,NO,67.667,12.6934,55.26,78,16,5.26,few clouds
150,Kasempa,ZM,-13.4584,25.8338,62.28,44,3,4.5,clear sky
151,Yulara,AU,-25.2406,130.9889,43.61,57,0,7.9,clear sky
152,Pocone,BR,-16.2567,-56.6228,96.57,23,60,8.84,broken clouds
153,Chuy,UY,-33.6971,-53.4616,61.03,90,93,12.5,overcast clouds
154,Lehi,US,40.3916,-111.8508,94.05,26,12,5.01,few clouds
155,Saint Anthony,US,45.0205,-93.218,81.77,57,0,9.22,clear sky
156,Trairi,BR,-3.2778,-39.2689,85.42,52,77,13.2,broken clouds
157,San Vicente,AR,-26.6167,-54.1333,77.36,42,31,7.43,scattered clouds
158,Cherskiy,RU,68.75,161.3,36.25,95,100,13.6,light rain
159,Arlit,NE,18.7369,7.3853,106.02,8,21,4.09,few clouds
160,Lorengau,PG,-2.0226,147.2712,81.64,78,99,10.0,overcast clouds
161,Tamna,RO,44.5667,23.0167,69.82,57,100,6.33,overcast clouds
162,Huarmey,PE,-10.0681,-78.1522,67.35,72,74,10.11,broken clouds
163,Berlevag,NO,70.8578,29.0864,55.4,87,100,9.22,light rain
164,Maniitsoq,GL,65.4167,-52.9,41.92,90,100,10.8,overcast clouds
165,Ordu,TR,40.9086,37.6845,58.84,92,2,1.99,clear sky
166,Barra Dos Coqueiros,BR,-10.9089,-37.0386,77.02,83,100,8.05,overcast clouds
167,Luganville,VU,-15.5333,167.1667,76.5,84,10,5.97,clear sky
168,Klaksvik,FO,62.2266,-6.589,50.92,97,100,11.77,light rain
169,Bambous Virieux,MU,-20.3428,57.7575,70.05,68,40,16.11,scattered clouds
170,Badou,TG,7.5833,0.6,73.17,95,100,3.74,moderate rain
171,Kapit,MY,2.0167,112.9333,73.83,97,100,1.52,overcast clouds
172,San Cristobal,VE,7.7669,-72.225,82.58,59,96,7.74,overcast clouds
173,Lompoc,US,34.6391,-120.4579,72.93,89,100,4.61,overcast clouds
174,Asau,RO,46.4333,26.4,74.32,56,94,6.96,overcast clouds
175,Kavieng,PG,-2.5744,150.7967,81.45,70,16,16.75,few clouds
176,Vostok,RU,46.4856,135.8833,59.22,95,85,3.83,overcast clouds
177,Antofagasta,CL,-23.65,-70.4,68.22,61,100,6.51,overcast clouds
178,Vila,PT,42.0304,-8.1588,90.7,24,0,3.4,clear sky
179,Ahipara,NZ,-35.1667,173.1667,57.51,93,53,6.87,broken clouds
180,Christchurch,NZ,-43.5333,172.6333,40.91,79,75,8.05,broken clouds
181,Gikongoro,RW,-2.464,29.5739,62.38,60,68,3.02,broken clouds
182,Chokurdakh,RU,70.6333,147.9167,45.28,59,100,3.0,overcast clouds
183,Hithadhoo,MV,-0.6,73.0833,82.49,74,20,4.12,few clouds
184,Atuona,PF,-9.8,-139.0333,76.95,81,30,19.35,light rain
185,Estelle,US,29.8458,-90.1067,93.0,67,75,8.05,broken clouds
186,Bukachacha,RU,52.9833,116.9167,51.21,93,99,3.71,overcast clouds
187,Provideniya,RU,64.3833,-173.3,48.34,94,100,6.53,overcast clouds
188,Iskateley,RU,67.6803,53.1512,61.54,62,40,10.04,scattered clouds
189,Tessalit,ML,20.1986,1.0114,106.74,6,70,12.3,broken clouds
190,Vila Velha,BR,-20.3297,-40.2925,76.95,91,75,5.75,broken clouds
191,Katsuura,JP,35.1333,140.3,75.34,92,100,16.26,light rain
192,Mahebourg,MU,-20.4081,57.7,70.09,68,40,16.11,scattered clouds
193,Zalantun,CN,48.0,122.7167,61.09,59,77,4.45,broken clouds
194,Friedrichshafen,DE,47.65,9.4833,77.16,44,0,5.75,clear sky
195,Nishihara,JP,26.1842,127.7558,83.86,89,75,10.36,broken clouds
196,Abnub,EG,27.2696,31.1511,97.02,16,20,11.77,few clouds
197,Tabuk,PH,17.4189,121.4443,74.97,93,82,4.25,broken clouds
198,Husavik,IS,66.0449,-17.3389,56.28,65,86,11.39,overcast clouds
199,Magole,TZ,-6.3667,37.3667,70.81,53,84,1.36,broken clouds
200,Tarakan,ID,3.3,117.6333,78.3,94,75,0.0,broken clouds
201,Inhambane,MZ,-23.865,35.3833,67.51,71,0,8.5,clear sky
202,Nyuksenitsa,RU,60.4128,44.2397,66.24,69,94,3.2,overcast clouds
203,Quijingue,BR,-10.7525,-39.2092,85.12,36,5,12.71,clear sky
204,Since,CO,9.2439,-75.1468,86.38,69,26,4.7,scattered clouds
205,Villa Literno,IT,41.0099,14.0805,84.15,40,20,11.5,few clouds
206,Sobolevo,RU,54.4299,31.8996,65.14,83,69,3.76,light rain
207,Piritiba,BR,-11.7303,-40.5553,76.12,54,71,10.13,broken clouds
208,Hamilton,US,39.1834,-84.5333,76.24,88,100,8.05,light rain
209,Linares,CL,-35.85,-71.6,48.49,92,100,17.74,light rain
210,Umm Lajj,SA,25.0213,37.2685,88.11,48,95,5.17,overcast clouds
211,Ferme-Neuve,CA,46.7001,-75.4493,68.07,35,1,6.69,clear sky
212,Ilulissat,GL,69.2167,-51.1,41.27,72,42,2.42,scattered clouds
213,Bilma,NE,18.6853,12.9164,104.04,11,17,6.38,few clouds
214,Kamina,CD,-8.7386,24.9906,67.96,34,7,5.79,clear sky
215,Kavaratti,IN,10.5669,72.642,81.28,82,100,19.71,overcast clouds
216,Tolmezzo,IT,46.4075,13.0175,79.75,66,85,3.58,overcast clouds
217,Henties Bay,NA,-22.116,14.2845,57.54,89,0,9.51,clear sky
218,Kano,NG,12.0001,8.5167,96.1,28,46,3.98,scattered clouds
219,Matagami,CA,49.7502,-77.6328,64.51,48,75,5.75,broken clouds
220,Muros,ES,42.7762,-9.0603,82.09,43,9,5.26,clear sky
221,Kysyl-Syr,RU,63.8986,122.7617,59.97,77,100,3.13,overcast clouds
222,Kyra,RU,49.5776,111.9753,51.37,84,25,4.63,scattered clouds
223,Ladario,BR,-19.0047,-57.6017,91.69,27,0,12.66,clear sky
224,Ponta Delgada,PT,37.7333,-25.6667,70.52,68,75,12.66,broken clouds
225,Indiaroba,BR,-11.5192,-37.5117,79.39,64,41,9.89,scattered clouds
226,Ramat Yishay,IL,32.7006,35.1797,80.11,79,0,8.61,clear sky
227,Thompson,CA,55.7435,-97.8558,66.36,82,100,4.61,overcast clouds
228,Port Elizabeth,ZA,-33.918,25.5701,77.09,35,0,5.75,clear sky
229,Campo Maior,BR,-4.8278,-42.1686,90.3,32,89,4.83,overcast clouds
230,Beberibe,BR,-4.1797,-38.1306,83.48,59,45,12.62,scattered clouds
231,Fortuna,US,40.5982,-124.1573,62.65,85,19,1.99,few clouds
232,Portland,US,45.5234,-122.6762,71.62,69,75,6.91,broken clouds
233,Oranjestad,AW,12.524,-70.027,85.95,74,75,24.16,broken clouds
234,Abong Mbang,CM,3.9833,13.1833,70.77,95,94,2.68,moderate rain
235,Amurzet,RU,47.6967,131.0981,65.01,97,100,1.39,overcast clouds
236,Goderich,CA,43.7501,-81.7165,71.92,35,0,9.22,clear sky
237,Soyo,AO,-6.1349,12.3689,71.85,81,100,10.83,overcast clouds
238,Darhan,MN,49.4867,105.9228,59.38,70,100,2.53,overcast clouds
239,Oranjemund,NA,-28.55,16.4333,59.74,70,1,23.6,clear sky
240,Rosarito,MX,32.3333,-117.0333,81.41,67,5,9.55,clear sky
241,Nanortalik,GL,60.1432,-45.2371,43.95,91,95,4.7,overcast clouds
242,Kota Kinabalu,MY,5.9749,116.0724,73.38,94,40,5.99,scattered clouds
243,Ola,RU,59.5833,151.2833,53.11,98,80,1.34,broken clouds
244,Kosugi,JP,36.7167,137.1,75.69,93,94,1.07,overcast clouds
245,Aragarcas,BR,-15.8975,-52.2508,88.45,35,0,13.8,clear sky
246,Suicheng,CN,33.8963,117.9331,83.35,76,54,5.93,broken clouds
247,Makat,KZ,47.6469,53.3463,88.2,24,39,9.86,scattered clouds
248,Khani,GE,41.9563,42.9566,69.37,96,9,1.34,clear sky
249,Alofi,NU,-19.0595,-169.9187,73.29,88,55,11.5,broken clouds
250,Kars,TR,40.602,43.095,62.35,75,63,5.21,broken clouds
251,Zhezkazgan,KZ,47.8043,67.7144,72.32,42,73,12.39,broken clouds
252,Beidao,CN,34.5686,105.8933,76.03,74,94,5.66,overcast clouds
253,Dudinka,RU,69.4058,86.1778,52.63,93,100,13.53,overcast clouds
254,Vikersund,NO,59.9659,9.995,68.25,32,97,8.97,overcast clouds
255,Vidalia,US,32.2177,-82.4135,87.91,70,40,6.91,scattered clouds
256,Puyang,CN,29.4603,119.8861,80.42,90,100,1.41,overcast clouds
257,Rio Gallegos,AR,-51.6226,-69.2181,30.25,80,0,12.66,clear sky
258,Te Anau,NZ,-45.4167,167.7167,31.37,90,93,4.21,overcast clouds
259,Brodick,GB,55.5754,-5.1472,64.24,73,34,10.2,scattered clouds
260,Salalah,OM,17.0151,54.0924,77.83,96,100,4.43,light rain
261,Kijang,KR,35.2442,129.2139,80.33,86,40,1.01,scattered clouds
262,Necochea,AR,-38.5473,-58.7368,53.35,83,96,9.86,overcast clouds
263,Victoria,HK,22.2855,114.1577,86.38,82,10,8.01,clear sky
264,Harstad,NO,68.799,16.5293,60.19,95,82,5.01,broken clouds
265,Tara,RU,56.8944,74.371,66.54,84,100,3.89,overcast clouds
